"","Service","Genres","RottenTomatoes"
"1","Disney Plus","Action",68.81
"2","Disney Plus","Adventure",66.05
"3","Disney Plus","Animation",61.75
"4","Disney Plus","Biography",66.8
"5","Disney Plus","Comedy",60.69
"6","Disney Plus","Crime",63.11
"7","Disney Plus","Documentary",46.92
"8","Disney Plus","Drama",60.6
"9","Disney Plus","Family",59.86
"10","Disney Plus","Fantasy",65.72
"11","Disney Plus","Game-Show",58
"12","Disney Plus","History",58.33
"13","Disney Plus","Horror",58.13
"14","Disney Plus","Music",59.56
"15","Disney Plus","Musical",64.23
"16","Disney Plus","Mystery",67.58
"17","Disney Plus","News",63
"18","Disney Plus","Reality-TV",46.4
"19","Disney Plus","Romance",62.41
"20","Disney Plus","Sci-Fi",67.06
"21","Disney Plus","Short",53.08
"22","Disney Plus","Sport",59.57
"23","Disney Plus","Talk-Show",54.5
"24","Disney Plus","Thriller",64.47
"25","Disney Plus","War",60
"26","Disney Plus","Western",54.88
"27","Hulu","Action",64.07
"28","Hulu","Adventure",64.35
"29","Hulu","Animation",59.92
"30","Hulu","Biography",64.34
"31","Hulu","Comedy",61.43
"32","Hulu","Crime",64.68
"33","Hulu","Documentary",55.54
"34","Hulu","Drama",62.31
"35","Hulu","Family",57.72
"36","Hulu","Fantasy",61.86
"37","Hulu","Film-Noir",46
"38","Hulu","History",64.24
"39","Hulu","Horror",60.92
"40","Hulu","Music",61.84
"41","Hulu","Musical",60.94
"42","Hulu","Mystery",62.08
"43","Hulu","Romance",61.68
"44","Hulu","Sci-Fi",63.93
"45","Hulu","Short",46.42
"46","Hulu","Sport",59.81
"47","Hulu","Talk-Show",65
"48","Hulu","Thriller",63.1
"49","Hulu","War",63.81
"50","Hulu","Western",64.6
"51","Netflix","Action",57.46
"52","Netflix","Adventure",57.87
"53","Netflix","Animation",54.76
"54","Netflix","Biography",62.61
"55","Netflix","Comedy",54.01
"56","Netflix","Crime",58.77
"57","Netflix","Documentary",56.4
"58","Netflix","Drama",56.96
"59","Netflix","Family",53.97
"60","Netflix","Fantasy",58.89
"61","Netflix","Film-Noir",41
"62","Netflix","Game-Show",48
"63","Netflix","History",63.02
"64","Netflix","Horror",57.79
"65","Netflix","Music",57.86
"66","Netflix","Musical",54.42
"67","Netflix","Mystery",60.68
"68","Netflix","News",45
"69","Netflix","Reality-TV",45.83
"70","Netflix","Romance",56.24
"71","Netflix","Sci-Fi",61.2
"72","Netflix","Short",48.65
"73","Netflix","Sport",57.15
"74","Netflix","Talk-Show",48.83
"75","Netflix","Thriller",58.79
"76","Netflix","War",62.41
"77","Netflix","Western",63.76
"78","Prime Video","Action",51.46
"79","Prime Video","Adventure",51.76
"80","Prime Video","Animation",49.34
"81","Prime Video","Biography",56.26
"82","Prime Video","Comedy",51.42
"83","Prime Video","Crime",52.56
"84","Prime Video","Documentary",48.7
"85","Prime Video","Drama",53.15
"86","Prime Video","Family",49.29
"87","Prime Video","Fantasy",54.33
"88","Prime Video","Film-Noir",58.23
"89","Prime Video","Game-Show",48
"90","Prime Video","History",54.62
"91","Prime Video","Horror",52.06
"92","Prime Video","Music",52.79
"93","Prime Video","Musical",51.9
"94","Prime Video","Mystery",54.33
"95","Prime Video","News",45
"96","Prime Video","Reality-TV",51
"97","Prime Video","Romance",52.96
"98","Prime Video","Sci-Fi",53.51
"99","Prime Video","Short",45.97
"100","Prime Video","Sport",55.12
"101","Prime Video","Talk-Show",53.8
"102","Prime Video","Thriller",53.48
"103","Prime Video","War",53.83
"104","Prime Video","Western",46.43
