"","Service","Genres","IMDb"
"1","Disney Plus","Action",6.61
"2","Disney Plus","Adventure",6.58
"3","Disney Plus","Animation",6.81
"4","Disney Plus","Biography",7.21
"5","Disney Plus","Comedy",6.45
"6","Disney Plus","Crime",6.15
"7","Disney Plus","Documentary",6.85
"8","Disney Plus","Drama",6.52
"9","Disney Plus","Family",6.46
"10","Disney Plus","Fantasy",6.62
"11","Disney Plus","Game-Show",6.3
"12","Disney Plus","History",7.12
"13","Disney Plus","Horror",6.27
"14","Disney Plus","Music",6.11
"15","Disney Plus","Musical",6.56
"16","Disney Plus","Mystery",6.68
"17","Disney Plus","News",7.75
"18","Disney Plus","Reality-TV",8.12
"19","Disney Plus","Romance",6.31
"20","Disney Plus","Sci-Fi",6.53
"21","Disney Plus","Short",6.98
"22","Disney Plus","Sport",6.49
"23","Disney Plus","Talk-Show",6.95
"24","Disney Plus","Thriller",6.51
"25","Disney Plus","War",5.5
"26","Disney Plus","Western",6.37
"27","Hulu","Action",6.06
"28","Hulu","Adventure",6.3
"29","Hulu","Animation",6.3
"30","Hulu","Biography",6.87
"31","Hulu","Comedy",6.08
"32","Hulu","Crime",6.31
"33","Hulu","Documentary",6.92
"34","Hulu","Drama",6.35
"35","Hulu","Family",5.93
"36","Hulu","Fantasy",6.1
"37","Hulu","Film-Noir",6.4
"38","Hulu","History",6.86
"39","Hulu","Horror",5.64
"40","Hulu","Music",6.63
"41","Hulu","Musical",6.39
"42","Hulu","Mystery",6.02
"43","Hulu","Romance",6.21
"44","Hulu","Sci-Fi",6.03
"45","Hulu","Short",6.46
"46","Hulu","Sport",6.64
"47","Hulu","Talk-Show",6.6
"48","Hulu","Thriller",6
"49","Hulu","War",6.4
"50","Hulu","Western",6.64
"51","Netflix","Action",6.01
"52","Netflix","Adventure",6.03
"53","Netflix","Animation",6.33
"54","Netflix","Biography",6.85
"55","Netflix","Comedy",6.16
"56","Netflix","Crime",6.26
"57","Netflix","Documentary",6.97
"58","Netflix","Drama",6.37
"59","Netflix","Family",6.09
"60","Netflix","Fantasy",6.11
"61","Netflix","Film-Noir",6.5
"62","Netflix","Game-Show",5.2
"63","Netflix","History",6.87
"64","Netflix","Horror",5.62
"65","Netflix","Music",6.72
"66","Netflix","Musical",6.33
"67","Netflix","Mystery",6.13
"68","Netflix","News",6.83
"69","Netflix","Reality-TV",6.38
"70","Netflix","Romance",6.2
"71","Netflix","Sci-Fi",5.86
"72","Netflix","Short",6.43
"73","Netflix","Sport",6.48
"74","Netflix","Talk-Show",6.37
"75","Netflix","Thriller",6
"76","Netflix","War",6.62
"77","Netflix","Western",6.29
"78","Prime Video","Action",5.5
"79","Prime Video","Adventure",5.63
"80","Prime Video","Animation",5.81
"81","Prime Video","Biography",6.81
"82","Prime Video","Comedy",5.94
"83","Prime Video","Crime",5.89
"84","Prime Video","Documentary",7.01
"85","Prime Video","Drama",6.14
"86","Prime Video","Family",5.88
"87","Prime Video","Fantasy",5.61
"88","Prime Video","Film-Noir",6.93
"89","Prime Video","Game-Show",5.2
"90","Prime Video","History",6.79
"91","Prime Video","Horror",5.07
"92","Prime Video","Music",6.51
"93","Prime Video","Musical",6.23
"94","Prime Video","Mystery",5.86
"95","Prime Video","News",6.88
"96","Prime Video","Reality-TV",5
"97","Prime Video","Romance",6.08
"98","Prime Video","Sci-Fi",5.23
"99","Prime Video","Short",6.42
"100","Prime Video","Sport",6.36
"101","Prime Video","Talk-Show",6.22
"102","Prime Video","Thriller",5.59
"103","Prime Video","War",6.26
"104","Prime Video","Western",5.94
