"","ID","Number_of_Subscribers_Q1_2021","Average_Monthly_Revenue_per_Paying_Membership_-_Q1_2021_($)","Q1_2021_Revenue_$","Number_of_Subscribers_Q2_2021","Average_Monthly_Revenue_per_Paying_Membership_-_Q2_2021_($)","Q2_2021_Revenue_$","Number_of_Subscribers_Q3_2021_(Estimate)","Q3_2021_Revenue_$_(Estimate)","Number_of_Subscribers_Q4_2021_(Estimate)","Q4_2021_Revenue_$_(Estimate)","Number_of_Subscribers"
"1","argentina",4968423,7.39,110149942,5069282,7.5,114058849,5154101,115967282,5240340,117907646,5069.282
"2","australia",6169026,9.71,179703740,6405917,9.74,187180896,6513101,190312806,6622078,193497120,6405.917
"3","austria",927420,11.56,32162926,930017,11.66,32531987,945578,33076312,961399,33629745,930.017
"4","belgium",1639040,11.56,56841907,1643629,11.66,57494153,1671131,58456146,1699092,59434234,1643.629
"5","brazil",17858800,7.39,395929594,18221334,7.5,409980005,18526213,416839790,18836193,423814354,18221.334
"6","bulgaria",171600,11.56,5951088,172080,11.66,6019375,174960,6120091,177887,6222493,172.08
"7","canada",6709076,14.25,286812999,6670163,14.54,290952526,6781769,295820743,6895241,300770416,6670.163
"8","chile",927415,7.39,20560801,946242,7.5,21290445,962075,21646677,978172,22008869,946.242
"9","colombia",2677007,7.39,59349247,2731350,7.5,61455382,2777051,62483654,2823517,63529130,2731.35
"10","costa rica",291852,7.39,6470369,297777,7.5,6699984,302759,6812088,307825,6926068,297.777
"11","croatia",114950,11.56,3986466,115272,11.66,4032210,117201,4099677,119162,4168272,115.272
"12","cyprus",49200,11.56,1706256,49338,11.66,1725835,50163,1754712,51003,1784071,49.338
"13","czech republic",455520,11.56,15797434,456795,11.66,15978705,464439,16246061,472210,16517890,456.795
"14","denmark",918240,11.56,31844563,920811,11.66,32209971,936218,32748909,951883,33296863,920.811
"15","estonia",52460,11.56,1819313,52607,11.66,1840189,53487,1870979,54382,1902284,52.607
"16","finland",735440,11.56,25505059,737499,11.66,25797723,749839,26229371,762385,26668240,737.499
"17","france",8344620,11.56,289391422,8367985,11.66,292712113,8507998,297609772,8650354,302589379,8367.985
"18","germany",10666560,11.56,369916301,10696426,11.66,374160994,10875399,380421456,11057366,386786668,10696.426
"19","greece",516450,11.56,17910486,517896,11.66,18116004,526561,18419121,535372,18727310,517.896
"20","hungary",338100,11.56,11725308,339047,11.66,11859853,344720,12058292,350487,12260051,339.047
"21","india",4845640,9.71,141153493,5031713,9.74,147026641,5115903,149486691,5201502,151987903,5031.713
"22","indonesia",850000,9.71,24760500,882640,9.74,25790741,897408,26222271,912424,26661023,882.64
"23","ireland",528120,11.56,18315202,529599,11.66,18525364,538460,18835330,547469,19150483,529.599
"24","italy",3678080,11.56,127555814,3688379,11.66,129019484,3750093,131178238,3812839,133373113,3688.379
"25","japan",5e+06,9.71,145650000,5192000,9.74,151710240,5278873,154248656,5367199,156829544,5192
"26","latvia",56700,11.56,1966356,56859,11.66,1988919,57810,2022198,58777,2056033,56.859
"27","lithuania",138030,11.56,4786880,138416,11.66,4841809,140732,4922822,143087,5005190,138.416
"28","luxembourg",83520,11.56,2896474,83754,11.66,2929710,85155,2978730,86580,3028570,83.754
"29","malta",30090,11.56,1043521,30174,11.66,1055495,30679,1073156,31192,1091112,30.174
"30","mexico",8180311,7.39,181357496,8346371,7.5,187793355,8486023,190935514,8628011,194130247,8346.371
"31","netherlands",2750000,11.56,95370000,2757700,11.66,96464346,2803842,98078387,2850756,99719435,2757.7
"32","new zealand",1263190,9.71,36796725,1311696,9.74,38327772,1333644,38969072,1355958,39621102,1311.696
"33","norway",1962668,11.56,68065341,1968164,11.66,68846373,2001095,69998310,2034578,71169522,1968.164
"34","poland",1733450,11.56,60116046,1738304,11.66,60805862,1767389,61823266,1796961,62857693,1738.304
"35","portugal",692310,11.56,24009311,694248,11.66,24284811,705865,24691145,717675,25104277,694.248
"36","romania",464000,11.56,16091520,465299,11.66,16276166,473085,16548499,481000,16825388,465.299
"37","russia",184878,11.56,6411569,185396,11.66,6485140,188498,6593649,191652,6703974,185.396
"38","singapore",446472,9.71,13005729,463617,9.74,13546875,471374,13773541,479261,14004000,463.617
"39","slovakia",189420,11.56,6569086,189950,11.66,6644464,193129,6755639,196360,6868675,189.95
"40","slovenia",92340,11.56,3202351,92599,11.66,3239097,94148,3293294,95723,3348397,92.599
"41","south africa",349000,11.56,12103320,349977,11.66,12242202,355833,12447039,361787,12655303,349.977
"42","south korea",4002920,9.71,116605060,4156632,9.74,121456791,4226181,123489006,4296893,125555224,4156.632
"43","spain",4762560,11.56,165165581,4775895,11.66,167060813,4855805,169856074,4937053,172698106,4775.895
"44","sweden",1713260,11.56,59415857,1718057,11.66,60097638,1746804,61103192,1776031,62125571,1718.057
"45","switzerland",1428631,11.56,49544930,1432631,11.66,50113445,1456602,50951943,1480974,51804471,1432.631
"46","turkey",3081300,11.56,106859484,3089928,11.66,108085669,3141628,109894158,3194194,111732907,3089.928
"47","united arab emirates",425993,11.56,14773428,427186,11.66,14942949,434333,15192975,441600,15447183,427.186
"48","uk",12716400,11.56,441004752,12752006,11.66,446065167,12965372,453528729,13182309,461117172,12752.006
"49","usa",67670924,14.25,2892932001,67278433,14.54,2934685232,68404135,2983788385,69548673,3033713132,67278.433
"50","vietnam",316020,9.71,9205663,328155,9.74,9588694,333646,9749132,339228,9912255,328.155
